,Name,Transmission,KM_Driven,Fuel_Type,Owner,Registration,EMI,Price,Year,Types,City,Discount
0,2020 Maruti New  Wagon-R LXI CNG 1.0 L,MANUAL,20724,Petrol + CNG,1st Owner,DL-1C,11626,594699,2020,Maruti,New Delhi,594699
1,2017 Maruti Celerio ZXI OPT AMT,AUTOMATIC,87848,Petrol,1st Owner,TS-08-x-xxxx,8893,465799,2017,Maruti,Hyderabad,454899
2,2010 Hyundai i10 ERA 1.1 IRDE,MANUAL,60476,Petrol,2nd Owner,KL-40,3775,229099,2010,Hyundai,Kochi,193099
3,2013 Maruti Alto 800 LXI,MANUAL,40700,Petrol,1st Owner,TN-12-x-xxxx,5019,256699,2013,Maruti,Chennai,256699
4,2021 Mahindra XUV 3OO W8 (O) AT,Manual,4022,Petrol,1st Owner,MH-12,22781,1213099,2021,Mahindra,Pune,1213099
5,2017 Skoda Rapid AMBITION 1.6 MPFI MT,MANUAL,46204,Petrol,1st Owner,KL-07,11949,611199,2017,Skoda,Kochi,611199
6,2013 Volkswagen Polo HIGHLINE1.2L PETROL,MANUAL,39352,Petrol,2nd Owner,MH-01,7591,388299,2013,Volkswagen,Mumbai,388299
7,2009 Hyundai i10 SPORTZ 1.2 AT,AUTOMATIC,49839,Petrol,1st Owner,MH-12,5128,262299,2009,Hyundai,Pune,262299
8,2019 Ford Ecosport 1.0 ECOBOOST TITANIUM SPORTS(SUNROOF),MANUAL,29221,Petrol,1st Owner,TN-02-x-xxxx,19258,1025499,2019,Ford,Chennai,1025499
9,2016 Hyundai Eon ERA PLUS,MANUAL,61372,Petrol,1st Owner,MP-37,6129,313499,2016,Hyundai,Indore,313499
10,2016 Ford Ecosport 1.5TITANIUM TDCI,MANUAL,41283,Diesel,1st Owner,UP-32-x-xxxx,13179,674099,2016,Ford,Lucknow,674099
11,2010 Ford Figo 1.2 ZXI DURATEC,MANUAL,79565,Petrol,2nd Owner,KA-03-x-xxxx,5220,266999,2010,Ford,Bangalore,266999
12,2021 Tata PUNCH CREATIVE  AMT,Manual,12459,Petrol,1st Owner,KA-50-x-xxxx,18125,965149,2021,Tata,Bangalore,965149
13,2017 Volkswagen Vento 1.2 TSI HIGHLINE PLUS AT,AUTOMATIC,36381,Petrol,1st Owner,RJ-14,15710,836599,2017,Volkswagen,Jaipur,836599
14,2012 Maruti Swift VXI,MANUAL,74741,Petrol,1st Owner,MH-04,6970,356499,2012,Maruti,Mumbai,356499
15,2021 Volkswagen Vento Highline 1.0 TSI MT,MANUAL,8689,Petrol,1st Owner,MH-46,20432,1111999,2021,Volkswagen,Mumbai,1087999
16,2017 Ford Ecosport 1.5 TITANIUM PLUS TI VCT AT,AUTOMATIC,14416,Petrol,2nd Owner,KL-07,18351,977199,2017,Ford,Kochi,977199
17,2020 Tata Tiago XE 1.2 REVOTRON,MANUAL,11084,Petrol,1st Owner,MP-04,9552,496399,2020,Tata,Indore,488599
18,2019 Renault Captur RXT PETROL,MANUAL,55608,Petrol,2nd Owner,GJ-01,13623,725899,2019,Renault,Ahmedabad,696799
19,2015 Hyundai Eon ERA PLUS,MANUAL,22741,Petrol,1st Owner,MH-02,5982,305999,2015,Hyundai,Pune,305999
20,2021 Tata ALTROZ XZ 1.2,MANUAL,5854,Petrol,1st Owner,KA-05-x-xxxx,16664,887399,2021,Tata,Bangalore,887399
21,2022 Hyundai NEW SANTRO SPORTZ 1.1,MANUAL,606,Petrol,2nd Owner,MH-12,12882,658899,2022,Hyundai,Pune,658899
22,2021 Hyundai Creta S CRDI,MANUAL,34068,Diesel,1st Owner,DL-10,23953,1450499,2021,Hyundai,New Delhi,1275499
23,2020 Renault TRIBER 1.0 RXT,MANUAL,14205,Petrol,1st Owner,KA-51-x-xxxx,13994,715799,2020,Renault,Bangalore,715799
24,2021 Maruti Swift ZXI+,MANUAL,24637,Petrol,1st Owner,WB-26,15245,840399,2021,Maruti,Kolkata,811799
25,2018 Toyota Corolla Altis VL AT,AUTOMATIC,34316,Petrol,2nd Owner,WB-06,27346,1548699,2018,Toyota,Kolkata,1456199
26,2015 Mahindra XUV500 W10 FWD,MANUAL,94062,Diesel,1st Owner,UP-32-x-xxxx,16090,856799,2015,Mahindra,Lucknow,856799
27,2019 Ford New Figo 1.2 TITANIUM,MANUAL,23027,Petrol,1st Owner,TN-09-x-xxxx,11429,584599,2019,Ford,Chennai,584599
28,2018 Renault Captur RXE PETROL MT,MANUAL,6607,Petrol,1st Owner,WB-20,11540,628799,2018,Renault,Kolkata,590299
29,2015 Maruti Alto 800 LXI,MANUAL,70844,Petrol,2nd Owner,TS-07-x-xxxx,5451,283799,2015,Maruti,Hyderabad,278799
30,2020 MG HECTOR SHARP 2.0 DIESEL,MANUAL,69314,Diesel,1st Owner,AP-39-x-xxxx,29676,1762899,2020,MG,Hyderabad,1580299
31,2011 Maruti Alto K10 VXI,MANUAL,69584,Petrol,2nd Owner,MH-05,3779,202999,2011,Maruti,Pune,193299
32,2018 Honda Jazz 1.2 S MT,MANUAL,50512,Petrol,2nd Owner,DL-9C,9971,556499,2018,Honda,New Delhi,509999
33,2016 Ford Ecosport 1.5 TREND TI VCT,MANUAL,54960,Petrol,2nd Owner,TN-59-x-xxxx,12182,623099,2016,Ford,Chennai,623099
